year,country_iso,country_fatalities
1997,706,49
1997,180,2291
1997,694,40
1997,231,84
1997,024,5258
1997,178,41
1998,108,1238
1998,180,3376
1998,800,1161
1998,694,0
1998,729,4046
1998,706,4
1998,231,958
1998,024,50810
1999,706,110
1999,694,113
1999,024,73725
1999,729,2439
1999,231,18839
1999,108,1718
1999,430,529
1999,404,339
2000,706,33
2000,729,3116
2000,024,3957
2000,508,2
2000,231,1413
2000,404,449
2000,180,1680
2000,694,0
2000,324,1345
2000,108,3891
2001,706,72
2001,729,4277
2001,180,2379
2001,108,3917
2001,120,4
2001,450,2
2001,024,9113
2001,140,52
2002,108,2136
2002,180,6077
2002,706,83
2002,430,36
2002,729,9329
2002,710,28
2002,800,1861
2002,024,275
2002,178,1
2003,180,3405
2003,800,2839
2003,404,173
2003,706,764
2003,384,1201
2003,430,324
2003,729,8159
2003,710,16
2003,108,1630
2003,686,9
2003,232,24
2003,024,6
2004,180,400
2004,706,926
2004,404,184
2004,566,2398
2004,800,1415
2004,729,11451
2004,384,494
2005,706,563
2005,404,353
2005,729,1886
2005,716,8
2005,454,0
2005,148,515
2005,800,1092
2005,180,565
2005,450,3
2006,729,1662
2006,180,412
2006,706,1166
2006,140,291
2006,710,16
2006,148,1905
2006,686,206
2006,231,366
2006,454,0
2006,232,2
2006,426,2
2007,454,1
2007,729,2157
2007,404,963
2007,706,2052
2007,140,218
2007,148,842
2007,800,308
2007,466,18
2007,834,8
2007,012,689
2007,108,63
2008,148,272
2008,231,639
2008,729,2119
2008,706,2076
2008,508,2
2008,108,197
2008,454,3
2008,120,234
2008,404,1156
2008,834,7
2008,180,2269
2008,694,7
2009,706,1137
2009,180,5119
2009,729,2874
2009,231,1862
2009,508,4
2009,430,0
2009,894,16
2009,404,185
2009,140,260
2009,478,2
2009,148,261
2009,800,158
2009,466,74
2010,231,1588
2010,706,3655
2010,180,1458
2010,800,289
2010,404,219
2010,586,7118
2010,729,1756
2010,450,3
2010,562,21
2010,120,6
2010,148,109
2010,454,0
2010,050,612
2010,694,0
2010,434,0
2011,706,2009
2011,729,4041
2011,562,25
2011,586,4535
2011,140,204
2011,834,36
2011,180,625
2011,434,5532
2011,104,1440
2011,384,817
2011,800,29
2011,231,655
2011,404,207
2011,728,1865
2011,148,17
2011,566,2472
2011,108,112
2012,586,4077
2012,706,3364
2012,686,24
2012,728,4110
2012,404,514
2012,729,2276
2012,120,5
2012,562,15
2012,180,1442
2012,788,14
2012,148,3
2012,434,552
2012,144,39
2012,231,885
2013,586,3714
2013,180,1973
2013,706,3172
2013,404,771
2013,686,15
2013,728,4368
2013,729,6822
2013,566,4686
2013,478,0
2013,104,471
2013,800,34
2013,140,2559
2013,231,584
2013,434,443
2013,466,908
2014,728,6447
2014,120,1366
2014,706,4469
2014,140,3618
2014,729,4165
2014,524,6
2014,466,382
